data,valor
2018-06-04,2211.56
2018-06-05,2209.89
2018-06-06,2195.05
2018-06-07,2161.65
2018-06-08,2142.99
2018-06-11,2139.10
2018-06-12,2136.04
2018-06-13,2127.60
2018-06-14,2118.50
2018-06-15,2106.21
2018-06-18,2090.17
2018-06-19,2085.24
2018-06-20,2089.30
2018-06-21,2091.36
2018-06-22,2094.50
2018-06-25,2093.83
2018-06-26,2101.82
2018-06-27,2109.27
2018-06-28,2110.91
2018-06-29,2125.22
2018-07-02,2132.79
2018-07-03,2144.41
2018-07-04,2139.65
2018-07-05,2149.04
2018-07-06,2153.81
2018-07-10,2148.73
2018-07-11,2155.63
2018-07-12,2143.88
2018-07-13,2146.83
2018-07-16,2139.57
2018-07-17,2147.82
2018-07-18,2147.97
2018-07-19,2150.28
2018-07-20,2155.23
2018-07-23,2153.39
2018-07-24,2151.14
2018-07-25,2152.69
2018-07-26,2146.89
2018-07-27,2144.93
2018-07-30,2145.70
2018-07-31,2154.45
2018-08-01,2148.86
2018-08-02,2150.58
2018-08-03,2154.22
2018-08-06,2154.62
2018-08-07,2152.16
2018-08-08,2152.59
2018-08-09,2152.58
2018-08-10,2143.81
2018-08-13,2139.40
2018-08-14,2145.10
2018-08-15,2140.86
2018-08-16,2152.39
2018-08-17,2149.20
2018-08-20,2142.42
2018-08-21,2144.55
2018-08-22,2142.26
2018-08-23,2131.27
2018-08-24,2131.18
2018-08-27,2134.77
2018-08-28,2136.40
2018-08-29,2134.69
2018-08-30,2136.19
2018-08-31,2139.40
2018-09-03,2135.48
2018-09-04,2135.25
2018-09-05,2135.83
2018-09-06,2135.76
2018-09-10,2131.94
2018-09-11,2126.87
2018-09-12,2134.40
2018-09-13,2137.97
2018-09-14,2132.52
2018-09-17,2134.08
2018-09-18,2137.17
2018-09-19,2141.61
2018-09-20,2142.51
2018-09-21,2141.80
2018-09-24,2141.55
2018-09-25,2135.01
2018-09-26,2129.03
2018-09-27,2128.83
2018-09-28,2134.81
2018-10-01,2128.39
2018-10-02,2133.45
2018-10-03,2145.82
2018-10-04,2141.89
2018-10-05,2153.11
2018-10-08,2159.51
2018-10-09,2172.49
2018-10-10,2174.20
2018-10-11,2176.07
2018-10-15,2188.26
2018-10-16,2187.12
2018-10-17,2189.14
2018-10-18,2188.43
2018-10-19,2192.19
2018-10-22,2200.88
2018-10-23,2206.57
2018-10-24,2207.34
2018-10-25,2213.86
2018-10-26,2220.24
2018-10-29,2223.38
2018-10-30,2233.99
2018-10-31,2242.45
2018-11-01,2250.63
2018-11-05,2251.56
2018-11-06,2249.32
2018-11-07,2253.28
2018-11-08,2253.85
2018-11-09,2260.28
2018-11-12,2262.11
2018-11-13,2259.91
2018-11-14,2272.16
2018-11-16,2277.63
2018-11-19,2283.02
2018-11-21,2279.64
2018-11-22,2283.03
2018-11-23,2283.67
2018-11-26,2288.07
2018-11-27,2287.26
2018-11-28,2290.54
2018-11-29,2300.05
2018-11-30,2300.48
2018-12-03,2302.10
2018-12-04,2293.69
2018-12-05,2294.96
2018-12-06,2294.61
2018-12-07,2296.03
2018-12-10,2295.93
2018-12-11,2298.56
2018-12-12,2293.65
2018-12-13,2299.15
2018-12-14,2305.39
2018-12-17,2305.49
2018-12-18,2310.14
2018-12-19,2310.03
2018-12-20,2311.48
2018-12-21,2330.08
2018-12-26,2332.14
2018-12-27,2344.94
2018-12-28,2351.59
2019-01-02,2367.76
2019-01-03,2379.19
2019-01-04,2385.10
2019-01-07,2389.30
2019-01-08,2390.14
2019-01-09,2392.57
2019-01-10,2387.98
2019-01-11,2388.43
2019-01-14,2388.03
2019-01-15,2386.35
2019-01-16,2390.77
2019-01-17,2390.51
2019-01-18,2398.21
2019-01-21,2396.42
2019-01-22,2395.49
2019-01-23,2390.37
2019-01-24,2387.99
2019-01-28,2380.57
2019-01-29,2392.97
2019-01-30,2398.05
2019-01-31,2409.69
2019-02-01,2407.87
2019-02-04,2405.57
2019-02-05,2404.14
2019-02-06,2398.71
2019-02-07,2400.83
2019-02-08,2402.61
2019-02-11,2405.91
2019-02-12,2403.81
2019-02-13,2403.97
2019-02-14,2404.01
2019-02-15,2406.91
2019-02-18,2413.49
2019-02-19,2413.19
2019-02-20,2418.27
2019-02-21,2409.82
2019-02-22,2413.90
2019-02-25,2403.94
2019-02-26,2409.46
2019-02-27,2420.88
2019-02-28,2434.56
2019-03-01,2444.36
2019-03-06,2451.69
2019-03-07,2457.10
2019-03-08,2460.08
2019-03-11,2463.50
2019-03-12,2464.68
2019-03-13,2464.92
2019-03-14,2471.01
2019-03-15,2482.77
2019-03-18,2485.35
2019-03-19,2480.17
2019-03-20,2483.05
2019-03-21,2481.89
2019-03-22,2471.35
2019-03-25,2473.97
2019-03-26,2480.79
2019-03-27,2474.00
2019-03-28,2476.55
2019-03-29,2482.93
2019-04-01,2481.83
2019-04-02,2482.52
2019-04-03,2486.19
2019-04-04,2485.93
2019-04-05,2484.62
2019-04-08,2480.40
2019-04-09,2481.74
2019-04-10,2481.79
2019-04-11,2486.53
2019-04-12,2483.05
2019-04-15,2487.86
2019-04-16,2483.87
2019-04-17,2486.97
2019-04-18,2492.38
2019-04-22,2491.70
2019-04-23,2493.87
2019-04-24,2492.85
2019-04-25,2491.30
2019-04-26,2498.02
2019-04-29,2498.43
2019-04-30,2508.45
2019-05-02,2503.68
2019-05-03,2505.47
2019-05-06,2496.26
2019-05-07,2496.06
2019-05-08,2496.46
2019-05-09,2493.30
2019-05-10,2491.99
2019-05-13,2484.23
2019-05-14,2488.87
2019-05-15,2491.04
2019-05-16,2496.88
2019-05-17,2497.36
2019-05-20,2497.66
2019-05-21,2503.36
2019-05-22,2509.97
2019-05-23,2510.46
2019-05-24,2517.57
2019-05-27,2519.20
2019-05-28,2522.48
2019-05-29,2528.64
2019-05-30,2543.76
2019-05-31,2552.69
2019-06-03,2557.00
2019-06-04,2557.30
2019-06-05,2558.86
2019-06-06,2560.60
2019-06-07,2567.99
2019-06-10,2565.06
2019-06-11,2560.29
2019-06-12,2559.73
2019-06-13,2559.06
2019-06-14,2561.24
2019-06-17,2563.84
2019-06-18,2573.35
2019-06-19,2580.49
2019-06-21,2592.55
2019-06-24,2598.10
2019-06-25,2598.14
2019-06-26,2604.72
2019-06-27,2609.38
2019-06-28,2626.10
2019-07-01,2628.59
